Series_reference,Period,Data_value,STATUS,UNITS,MAGNTUDE,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
GFSA.SLS01G01Z90,2009.06,715,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Net Balances",Net operating balance,,,,
GFSA.SLS01G01Z90,2010.06,907,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Net Balances",Net operating balance,,,,
GFSA.SLS01G01Z90,2011.06,350,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Net Balances",Net operating balance,,,,
GFSA.SLS01G01Z90,2012.06,512,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Net Balances",Net operating balance,,,,
GFSA.SLS01G01Z90,2013.06,1033,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Net Balances",Net operating balance,,,,
GFSA.SLS01G01Z90,2014.06,944,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Net Balances",Net operating balance,,,,
GFSA.SLS01G01Z90,2015.06,1033,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Net Balances",Net operating balance,,,,
GFSA.SLS01G01Z90,2016.06,1154,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Net Balances",Net operating balance,,,,
GFSA.SLS01G01Z90,2017.06,1106,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Net Balances",Net operating balance,,,,
GFSA.SLS01G01Z90,2018.06,1554,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Net Balances",Net operating balance,,,,
GFSA.SLS01G01Z90,2019.06,1758,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Net Balances",Net operating balance,,,,
GFSA.SLS01G01Z90,2020.06,1360,REVISED,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Net Balances",Net operating balance,,,,
GFSA.SLS01G01Z90,2021.06,1790,REVISED,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Net Balances",Net operating balance,,,,
GFSA.SLS01G01Z90,2022.06,2196,REVISED,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Net Balances",Net operating balance,,,,
GFSA.SLS01G01Z90,2023.06,2188,PROVISIONAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Net Balances",Net operating balance,,,,
GFSA.SLS01G01Z91,2009.06,-1092,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Net Balances",Net lending/borrowing,,,,
GFSA.SLS01G01Z91,2010.06,-924,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Net Balances",Net lending/borrowing,,,,
GFSA.SLS01G01Z91,2011.06,-849,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Net Balances",Net lending/borrowing,,,,
GFSA.SLS01G01Z91,2012.06,-545,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Net Balances",Net lending/borrowing,,,,
GFSA.SLS01G01Z91,2013.06,-1196,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Net Balances",Net lending/borrowing,,,,
GFSA.SLS01G01Z91,2014.06,-714,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Net Balances",Net lending/borrowing,,,,
GFSA.SLS01G01Z91,2015.06,-778,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Net Balances",Net lending/borrowing,,,,
GFSA.SLS01G01Z91,2016.06,-402,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Net Balances",Net lending/borrowing,,,,
GFSA.SLS01G01Z91,2017.06,-522,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Net Balances",Net lending/borrowing,,,,
GFSA.SLS01G01Z91,2018.06,-329,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Net Balances",Net lending/borrowing,,,,
GFSA.SLS01G01Z91,2019.06,-688,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Net Balances",Net lending/borrowing,,,,
GFSA.SLS01G01Z91,2020.06,-1335,REVISED,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Net Balances",Net lending/borrowing,,,,
